;city_code;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;product;mean
535;Santa Bárbara do Pará (PA);3100.0;3100.0;3100.0;3100.0;3100.0;6235.0;3100.0;3100.0;3100.0;3100.0;3100.0;3100.0;3100.0;162.0;200.0;200.0;0;0;0;0;0;Palm oil;2095.095238095238
536;Santa Izabel do Pará (PA);2500.0;2500.0;2500.0;2500.0;1750.0;1750.0;1200.0;1200.0;1200.0;1200.0;1500.0;0;0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;Palm oil;1095.2380952380952
537;Santa Luzia do Pará (PA);35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;15.0
538;Santa Maria das Barreiras (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
539;Santa Maria do Pará (PA);50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;10.0;350.0;350.0;350.0;350.0;350.0;350.0;550.0;550.0;350.0;Palm oil;195.71428571428572
540;Santana do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
541;Santarém (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
542;Santarém Novo (PA);0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
543;Santo Antônio do Tauá (PA);3097.0;3097.0;3097.0;3097.0;3097.0;3097.0;1990.0;2600.0;2600.0;2600.0;2600.0;2600.0;2600.0;2700.0;2900.0;2900.0;2900.0;2900.0;5900.0;6900.0;2900.0;Palm oil;3151.0476190476193
544;São Caetano de Odivelas (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
545;São Domingos do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
546;São Domingos do Capim (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1100.0;1000.0;1988.0;Palm oil;194.66666666666666
547;São Félix do Xingu (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
548;São Francisco do Pará (PA);190.0;190.0;190.0;190.0;190.0;190.0;190.0;190.0;190.0;190.0;190.0;190.0;190.0;190.0;270.0;270.0;270.0;270.0;300.0;320.0;270.0;Palm oil;220.47619047619048
549;São Geraldo do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
550;São João da Ponta (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100.0;100.0;100.0;Palm oil;14.285714285714286
551;São João de Pirabas (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
552;São João do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
553;São Miguel do Guamá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250.0;450.0;Palm oil;33.333333333333336
554;São Sebastião da Boa Vista (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
555;Sapucaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
556;Senador José Porfírio (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
557;Soure (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
558;Tailândia (PA);9676.0;9676.0;13741.0;13741.0;15530.0;15530.0;17074.0;17074.0;17074.0;19980.0;17074.0;17074.0;17074.0;19387.0;20893.0;19387.0;19387.0;19387.0;19387.0;19387.0;19387.0;Palm oil;16996.190476190477
559;Terra Alta (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;100.0;100.0;100.0;100.0;330.0;230.0;100.0;Palm oil;50.476190476190474
560;Terra Santa (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
561;Tomé-Açu (PA);430.0;430.0;500.0;500.0;500.0;600.0;600.0;600.0;1000.0;2500.0;2500.0;2600.0;2600.0;2600.0;2600.0;2600.0;2600.0;2600.0;8400.0;10600.0;10600.0;Palm oil;2760.0
562;Tracuateua (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
563;Trairão (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
564;Tucumã (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
565;Tucuruí (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
566;Ulianópolis (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
567;Uruará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
568;Vigia (PA);250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;230.0;150.0;250.0;Palm oil;244.28571428571428
569;Viseu (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
570;Vitória do Xingu (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
571;Xinguara (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
